============    FORTRESS SEED [123394]    =========
Fortress initialized! - <0>
>>> CONFIG FILE: beta_config.yaml <<< -- <0>
15 Unique character trees created -- <0>
[<.d2c0] moved to [12, 2] -- <26>
[<.5bfa] moved to [9, 5] -- <26>
[<.2de6] moved to [9, 3] -- <26>
[<.6983] moved to [10, 3] -- <26>
[<.c84d] moved to [10, 3] -- <26>
[<.dcb4] moved to [8, 5] -- <26>
[<.93e4] moved to [12, 1] -- <26>
[<. d36] moved to [11, 5] -- <26>
[<.7ceb] moved to [10, 2] -- <26>
[<.c366] moved to [7, 5] -- <26>
[<.e08c] moved to [7, 1] -- <26>
[<.60df] moved to [7, 6] -- <26>
[<.7562] moved to [10, 2] -- <26>
[<. 454] moved to [10, 3] -- <26>
[<.a9e3] moved to [12, 5] -- <26>
[<.f5f7] moved to [9, 4] -- <26>
[<.8777] moved to [7, 4] -- <26>
[<.8501] moved to [8, 3] -- <26>
[<.671c] moved to [8, 5] -- <26>
[<.6c9c] moved to [10, 3] -- <26>
[<. 8da] moved to [13, 3] -- <26>
[<.f48d] moved to [10, 3] -- <26>
[<.7c87] cloned to [<.22f8] at [12, 4] -- <27>
[<.9cb6] added [<.22f8] at [12, 4] -- <27>
[<.7c87] cloned to [<.8b04] at [11, 5] -- <27>
[<.f9d5] added [<.8b04] at [11, 5] -- <27>
[<.7c87] cloned to [<. 626] at [9, 5] -- <27>
[<.ba70] added [<. 626] at [9, 5] -- <27>
[<.7c87] cloned to [<. 338] at [8, 4] -- <27>
[<.b097] added [<. 338] at [8, 4] -- <27>
[<.7c87] cloned to [<.183f] at [13, 3] -- <27>
[<.1ea3] added [<.183f] at [13, 3] -- <27>
[<.7c87] cloned to [<.41cb] at [13, 2] -- <27>
[<. 39b] added [<.41cb] at [13, 2] -- <27>
[<.7c87] cloned to [<.e4cd] at [10, 4] -- <27>
[<.ff4e] added [<.e4cd] at [10, 4] -- <27>
[<.7c87] cloned to [<. d02] at [6, 6] -- <27>
[<. b5e] added [<. d02] at [6, 6] -- <27>
[<.7c87] cloned to [<.bba1] at [10, 4] -- <27>
[<.8848] added [<.bba1] at [10, 4] -- <27>
[<.7c87] cloned to [<.23c4] at [12, 2] -- <27>
[<.2f7c] added [<.23c4] at [12, 2] -- <27>
[<.7c87] cloned to [<.c30a] at [9, 6] -- <27>
[<.7990] added [<.c30a] at [9, 6] -- <27>
[<.bcf6] moved to [11, 4] -- <27>
[<.26ac] moved to [10, 6] -- <27>
[<. 339] moved to [12, 6] -- <27>
[<.a5d7] moved to [11, 5] -- <27>
[<.8e15] moved to [10, 2] -- <27>
[<.fee1] moved to [8, 4] -- <27>
[<.61b8] moved to [8, 5] -- <27>
[<.d2c0] moved to [12, 1] -- <27>
[<.5bfa] moved to [9, 6] -- <27>
[<.2de6] moved to [9, 2] -- <27>
[<.5b31] moved to [12, 5] -- <27>
[<.6983] moved to [10, 2] -- <27>
[<.c84d] moved to [10, 4] -- <27>
[<.dcb4] moved to [8, 4] -- <27>
[<.93e4] moved to [11, 1] -- <27>
[<. d36] moved to [10, 5] -- <27>
[<.7ceb] moved to [9, 2] -- <27>
[<.c366] moved to [7, 6] -- <27>
[<.e08c] moved to [6, 1] -- <27>
[<.60df] moved to [6, 6] -- <27>
[<.7562] moved to [11, 2] -- <27>
[<. 454] moved to [10, 2] -- <27>
[<.a9e3] moved to [11, 5] -- <27>
[<.f5f7] moved to [10, 4] -- <27>
[<.8777] moved to [6, 4] -- <27>
[<.8501] moved to [9, 3] -- <27>
[<.671c] moved to [9, 5] -- <27>
[<.6c9c] moved to [10, 4] -- <27>
[<. 8da] moved to [12, 3] -- <27>
[<.f48d] moved to [9, 3] -- <27>
[<.9532] moved to [12, 5] -- <27>
[<.4dbf] moved to [13, 4] -- <27>
[<.51ea] moved to [10, 3] -- <27>
[<.a486] moved to [8, 3] -- <27>
[<.c814] moved to [9, 6] -- <27>
[<.debe] moved to [11, 2] -- <27>
[<.3668] moved to [12, 2] -- <27>
[<.97b1] moved to [11, 4] -- <27>
[<.7c87] cloned to [<.57bb] at [12, 4] -- <28>
[<.9cb6] added [<.57bb] at [12, 4] -- <28>
[<.7c87] cloned to [<.8ac7] at [10, 4] -- <28>
[<.f9d5] added [<.8ac7] at [10, 4] -- <28>
[<.7c87] cloned to [<.7775] at [8, 4] -- <28>
[<.ba70] added [<.7775] at [8, 4] -- <28>
[<.7c87] cloned to [<.8a17] at [9, 3] -- <28>
[<.b097] added [<.8a17] at [9, 3] -- <28>
[<.7c87] cloned to [<.e1ec] at [10, 6] -- <28>
[<.e027] added [<.e1ec] at [10, 6] -- <28>
[<.7c87] cloned to [<.afe7] at [13, 3] -- <28>
[<.1ea3] added [<.afe7] at [13, 3] -- <28>
[<.7c87] cloned to [<.5563] at [13, 2] -- <28>
[<. 39b] added [<.5563] at [13, 2] -- <28>
[<.7c87] cloned to [<.aa6e] at [9, 3] -- <28>
[<.ff4e] added [<.aa6e] at [9, 3] -- <28>
[<.7c87] cloned to [<.8fdc] at [5, 5] -- <28>
[<. b5e] added [<.8fdc] at [5, 5] -- <28>
[<.7c87] cloned to [<.e4eb] at [9, 5] -- <28>
[<.8848] added [<.e4eb] at [9, 5] -- <28>
[<.7c87] cloned to [<.6bf9] at [11, 3] -- <28>
[<.2f7c] added [<.6bf9] at [11, 3] -- <28>
[<.7c87] cloned to [<.381e] at [8, 5] -- <28>
[<.7990] added [<.381e] at [8, 5] -- <28>
[<.7c87] cloned to [<. e20] at [11, 5] -- <28>
[<.bcf6] added [<. e20] at [11, 5] -- <28>
[<.7c87] cloned to [<.dd8a] at [11, 6] -- <28>
[<.26ac] added [<.dd8a] at [11, 6] -- <28>
